Market Name,Delivery Date,Unique bid number,Response Unit,Unit type,Agent/Applicant,Related Entity,Volume offered,Volume Accepted,Delivery Start UTC,Delivery End UTC,Service Duration,Availability Fee,Total Cost,RTM/no RTM,Accepted/Rejected,Rejection code,Technology Type
DC LF,02-10-20,20201002 AG-MFLX02,AG-MFLX02,BM,Flexitricity Limited,N/A,49,49,2020-10-01T22:00:00Z,2020-10-02T22:00:00Z,24,15.03,17675.28,RTM,Accepted,,Battery
DC LF,02-10-20,20201002 ARNKB-1,ARNKB-1,BM,Arenko Cleantech Limited,N/A,41,41,2020-10-01T22:00:00Z,2020-10-02T22:00:00Z,24,14,13776,RTM,Accepted,,Battery
DC LF,02-10-20,20201002 AG-HEL00G,AG-HEL00G,BM,Habitat Energy Limited,N/A,49,0,2020-10-01T22:00:00Z,2020-10-02T22:00:00Z,24,24,,RTM,Rejected,1,Battery
Withdraw,02-10-20,20201002 DBESSA-33,DBESSA-33,Non-BM,Zenobe Energy Limited,BESS HODLCO 3 LIMITED,8,0,2020-10-01T22:00:00Z,2020-10-02T22:00:00Z,24,,,no RTM,Rejected,5,Battery
Withdraw,02-10-20,20201002 DBESSC-33,DBESSC-33,Non-BM,Zenobe Energy Limited,BESS HODLCO 3 LIMITED,9,0,2020-10-01T22:00:00Z,2020-10-02T22:00:00Z,24,,,no RTM,Rejected,5,Battery
Withdraw,02-10-20,20201002 DBESSF-33,DBESSF-33,Non-BM,Zenobe Energy Limited,BESS HODLCO 3 LIMITED,9,0,2020-10-01T22:00:00Z,2020-10-02T22:00:00Z,24,,,no RTM,Rejected,5,Battery
DC LF,03-10-20,20201003 AG-MFLX02,AG-MFLX02,BM,Flexitricity Limited,N/A,49,49,2020-10-02T22:00:00Z,2020-10-03T22:00:00Z,24,15.03,17675.28,RTM,Accepted,,Battery
DC LF,03-10-20,20201003 ARNKB-1,ARNKB-1,BM,Arenko Cleantech Limited,N/A,41,41,2020-10-02T22:00:00Z,2020-10-03T22:00:00Z,24,15,14760,RTM,Accepted,,Battery
DC LF,03-10-20,20201003 AG-HEL00G,AG-HEL00G,BM,Habitat Energy Limited,N/A,49,49,2020-10-02T22:00:00Z,2020-10-03T22:00:00Z,24,15.02,17663.52,RTM,Accepted,,Battery
DC LF,03-10-20,20201003 DBESSA-33,DBESSA-33,Non-BM,Zenobe Energy Limited,BESS HODLCO 3 LIMITED,8,8,2020-10-02T22:00:00Z,2020-10-03T22:00:00Z,24,16.0875,3088.8,no RTM,Accepted,,Battery
DC LF,03-10-20,20201003 DBESSC-33,DBESSC-33,Non-BM,Zenobe Energy Limited,BESS HODLCO 3 LIMITED,9,9,2020-10-02T22:00:00Z,2020-10-03T22:00:00Z,24,11.44444444,2472,no RTM,Accepted,,Battery
DC LF,03-10-20,20201003 DBESSF-33,DBESSF-33,Non-BM,Zenobe Energy Limited,BESS HODLCO 3 LIMITED,9,9,2020-10-02T22:00:00Z,2020-10-03T22:00:00Z,24,14.22222222,3072,no RTM,Accepted,,Battery
DC LF,04-10-20,20201004 AG-MFLX02,AG-MFLX02,BM,Flexitricity Limited,N/A,49,49,2020-10-03T22:00:00Z,2020-10-04T22:00:00Z,24,15.03,17675.28,RTM,Accepted,,Battery
DC LF,04-10-20,20201004 AG-HEL00G,AG-HEL00G,BM,Habitat Energy Limited,N/A,49,49,2020-10-03T22:00:00Z,2020-10-04T22:00:00Z,24,15.99,18804.24,RTM,Accepted,,Battery
DC LF,04-10-20,20201004 DBESSC-33,DBESSC-33,Non-BM,Zenobe Energy Limited,BESS HODLCO 3 LIMITED,9,9,2020-10-03T22:00:00Z,2020-10-04T22:00:00Z,24,16,3456,no RTM,Accepted,,Battery
DC LF,04-10-20,20201004 DBESSF-33,DBESSF-33,Non-BM,Zenobe Energy Limited,BESS HODLCO 3 LIMITED,9,9,2020-10-03T22:00:00Z,2020-10-04T22:00:00Z,24,16,3456,no RTM,Accepted,,Battery
DC LF,04-10-20,20201004 ARNKB-1,ARNKB-1,BM,Arenko Cleantech Limited,N/A,41,41,2020-10-03T22:00:00Z,2020-10-04T22:00:00Z,24,16,15744,RTM,Accepted,,Battery
DC LF,04-10-20,20201004 DBESSA-33,DBESSA-33,Non-BM,Zenobe Energy Limited,BESS HODLCO 3 LIMITED,8,8,2020-10-03T22:00:00Z,2020-10-04T22:00:00Z,24,17,3264,no RTM,Accepted,,Battery
DC LF,05-10-20,20201005 AG-MFLX02,AG-MFLX02,BM,Flexitricity Limited,N/A,49,49,2020-10-04T22:00:00Z,2020-10-05T22:00:00Z,24,15.85,18639.6,RTM,Accepted,,Battery
DC LF,05-10-20,20201005 AG-HEL00G,AG-HEL00G,BM,Habitat Energy Limited,N/A,49,49,2020-10-04T22:00:00Z,2020-10-05T22:00:00Z,24,16.9,19874.4,RTM,Accepted,,Battery
DC LF,05-10-20,20201005 ARNKB-1,ARNKB-1,BM,Arenko Cleantech Limited,N/A,41,41,2020-10-04T22:00:00Z,2020-10-05T22:00:00Z,24,16.95,16678.8,RTM,Accepted,,Battery
